AIRPORT,SEATS,OCCUPIED,TIME
LAX,200,166,WEEKDAY
JFK,200,172,WEEKDAY
LAX,200,181,WEEKDAY
YVR,200,160,WEEKDAY
LAX,250,226,REDEYE
JFK,250,218,REDEYE
LAX,250,228,REDEYE
YVR,250,212,REDEYE
LAX,450,380,WEEKDAY
JFK,450,358,WEEKDAY
LAX,450,384,WEEKDAY
YVR,450,389,WEEKDAY
LAX,200,169,REDEYE
JFK,200,172,REDEYE
LAX,200,171,REDEYE
YVR,200,166,REDEYE
LAX,250,217,WEEKDAY
JFK,250,198,WEEKDAY
LAX,250,216,WEEKDAY
YVR,250,195,WEEKDAY
LAX,450,366,REDEYE
JFK,450,414,REDEYE
LAX,450,382,REDEYE
YVR,450,384,REDEYE
LAX,200,177,WEEKDAY
JFK,200,175,WEEKDAY
LAX,200,171,WEEKDAY
YVR,200,166,WEEKDAY
LAX,250,224,REDEYE
JFK,250,210,REDEYE
LAX,250,223,REDEYE
YVR,250,198,REDEYE
LAX,450,350,WEEKDAY
JFK,450,378,WEEKDAY
LAX,450,368,WEEKDAY
YVR,450,355,WEEKDAY
LAX,200,164,REDEYE
JFK,200,174,REDEYE
LAX,200,170,REDEYE
YVR,200,164,REDEYE
LAX,250,225,WEEKDAY
JFK,250,197,WEEKDAY
LAX,250,216,WEEKDAY
YVR,250,195,WEEKDAY
LAX,450,365,REDEYE
JFK,450,386,REDEYE
LAX,450,351,REDEYE
YVR,450,387,REDEYE
LAX,200,179,WEEKEND
JFK,200,160,WEEKEND
LAX,200,171,WEEKEND
YVR,200,178,WEEKEND
LAX,250,205,WEEKEND
JFK,250,213,WEEKEND
LAX,250,215,WEEKEND
YVR,250,225,WEEKEND
LAX,450,366,WEEKEND
JFK,450,351,WEEKEND
LAX,450,347,WEEKEND
YVR,450,386,WEEKEND
LAX,200,178,WEEKEND
JFK,200,159,WEEKEND
LAX,200,167,WEEKEND
YVR,200,182,WEEKEND
LAX,250,210,WEEKEND
JFK,250,205,WEEKEND
LAX,250,211,WEEKEND
YVR,250,208,WEEKEND
LAX,450,389,WEEKEND
JFK,450,351,WEEKEND
LAX,450,385,WEEKEND
YVR,450,401,WEEKEND
LAX,200,182,WEEKDAY
JFK,200,168,WEEKDAY
LAX,200,175,WEEKDAY
YVR,200,159,WEEKDAY
LAX,250,205,REDEYE
JFK,250,222,REDEYE
LAX,250,212,REDEYE
YVR,250,192,REDEYE
LAX,450,347,WEEKDAY
JFK,450,388,WEEKDAY
LAX,450,391,WEEKDAY
YVR,450,351,WEEKDAY
LAX,200,174,REDEYE
JFK,200,170,REDEYE
LAX,200,169,REDEYE
YVR,200,158,REDEYE
LAX,250,228,WEEKDAY
JFK,250,202,WEEKDAY
